#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508092243   261   23.8   99.0   23.6   24.0   24.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.5 1002.4
202508092243   262   23.3   95.5   22.5   24.2   24.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.2 1003.1
202508092243   263   21.4   98.0   21.1   22.4   23.8   24.6   26.1   26.8   27.7  -99.7  -99.7  -99.7  -99.7  -99.7 1002.1 1003.7
202508092243   264   22.1   94.5   21.2   22.0   23.8   24.5   24.8   26.8   28.1  -99.7  -99.7  -99.7  -99.7  -99.7  986.5 1003.8
202508092243   266   21.8   95.7   21.1   23.9   23.9   24.7   25.2   26.8   27.5  -99.7  -99.7  -99.7  -99.7  -99.7  993.8 1003.9
202508092243   268   24.4   99.9   24.4   24.1   24.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.0 1001.1
202508092243   269   22.7   99.7   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.7 1001.9
202508092243   271   17.8   95.0   17.0   16.5   19.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  968.1 1005.3
202508092243   272   19.9   98.2   19.6   19.6   21.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  980.2 1004.4
202508092243   273   20.1   96.4   19.5   19.2   22.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  983.8 1003.6
202508092243   276   22.0   99.9   22.0   21.8   23.9   25.1   26.1   27.1   26.3  -99.7  -99.7  -99.7  -99.7  -99.7  980.0 1003.7
