lon,lat,wl,attwl,obsnm,rf,kind,dataType,ymdhm,obscd,fbscd,wrnwl,almwl,srswl,fcodvcd,sttnm,sumrf24,wl10,cnfno,sfw,cnfdt,appsdt,cnfotf,cmt,cnfseq,fvanm,addr,seq,media_nm,hls_url,rsobscd,observationCount,totalcnt,fldcnt0,fldcnt1,fldcnt2,fldcnt3,fldcnt4,fldcnt5,cnt,itm,itmid,ansid,rsrt,crwl,crewl,dwl,msg,act,fvacnt,fvacd,ospilwl,rwl,iqty,tdqty,spnds,anctm,spnefttm,spnttl,spnzn,pspeftds,cctvurl,cctvhurl,cctvtype,media_id,media_type,proto_type,media_status,hls_status,fw,floodCode,floodName,floodSubName,ldUrl,hdUrl,addtcd,data,note
127.87444444444444,35.418055555555554,0.72,,산청군(경호교),,,flood,2025-09-07 14:30,2018645,,6.50,8.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.70777777777778,36.21194444444445,2.68,,영동군(양강교),,,flood,2025-09-07 14:30,3004690,,6.00,7.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.64777777777779,37.296388888888885,0.81,,여주시(여주대교),,,flood,2025-09-07 14:30,1007635,,6.00,8.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.59388888888888,36.23111111111111,1.02,,보령시(노천교),,,flood,2025-09-07 14:30,3203652,,3.80,4.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.31722222222223,37.948055555555555,0.78,,인제군(현리교),,,flood,2025-09-07 14:30,1012640,,1.80,2.30,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.42888888888888,36.13611111111111,1.86,,구미시(양포교),,,flood,2025-09-07 14:30,2011625,,4.80,5.90,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.74027777777778,35.06666666666666,5.26,,하동군(읍내리),,,flood,2025-09-07 14:30,4009665,,12.00,13.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.7186111111111,37.48555555555556,0.60,,정선군(송천교),,,flood,2025-09-07 14:30,1001625,,3.60,4.70,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.4875,34.916666666666664,1.66,,순천시(연동교),,,flood,2025-09-07 14:30,4104685,,3.20,3.80,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.8825,34.983333333333334,0.65,,나주시(우산교),,,flood,2025-09-07 14:30,5003650,,2.80,3.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.43972222222223,37.45527777777778,1.99,,평창군(사초교),,,flood,2025-09-07 14:30,1002635,,4.00,4.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.10611111111112,37.11222222222222,1.52,,제천시(구곡교),,,flood,2025-09-07 14:30,1003661,,4.50,5.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.53083333333333,35.72138888888889,1.06,,장수군(운곡교),,,flood,2025-09-07 14:30,3001605,,2.50,3.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.05638888888889,38.009166666666665,1.32,,연천군(사랑교),,,flood,2025-09-07 14:30,1022680,,7.50,9.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.30416666666667,35.43416666666666,2.32,,울산시(덕신교),,,flood,2025-09-07 14:30,2301670,,6.60,7.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.05805555555555,37.13388888888889,0.99,,오산시(탑동대교),,,flood,2025-09-07 14:30,1101645,,3.70,4.00,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.1563888888889,35.163333333333334,1.87,,진주시(옥산교),,,flood,2025-09-07 14:30,2019625,,5.90,6.70,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.55499999999999,36.3175,1.14,,옥천군(옥각교),,,flood,2025-09-07 14:30,3008630,,3.40,4.40,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.93833333333333,35.96888888888889,1.23,,영천시(영동교),,,flood,2025-09-07 14:30,2012628,,3.40,4.20,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.69,35.165277777777774,1.99,,광주광역시(평림교),,,flood,2025-09-07 14:30,5002677,,3.50,4.20,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.7225,36.489444444444445,0.59,,보은군(이평교),,,flood,2025-09-07 14:30,3007620,,2.50,3.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.71583333333334,36.211111111111116,2.19,,영동군(초강교),,,flood,2025-09-07 14:30,3004685,,4.50,5.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.2686111111111,36.49861111111111,1.31,,예천군(상풍교),,,flood,2025-09-07 14:30,2007660,,4.00,5.50,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
