#START7777
# YYMMDDHHMI   STN     TA     HM     TD     TG     TS TE0.05  TE0.1  TE0.2  TE0.3  TE0.5  TE1.0  TE1.5  TE3.0  TE5.0     PA     PS
#        KST    ID      C      %      C      C      C      C      C      C      C      C      C      C      C      C    hPa    hPa
202508100113   235   22.7   85.8   20.2   22.2   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.0 1001.1
202508100113   236   22.5   91.2   21.0   21.7   23.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.6 1002.1
202508100113   238   22.2   98.1   21.9   22.4   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.4 1002.0
202508100113   239   22.5   84.9   19.8   21.7   23.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.0 1002.2
202508100113   243   22.3   95.7   21.6   22.6   23.3  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.3 1001.7
202508100113   244   21.4   96.7   20.9   21.4   22.8  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  974.1 1002.1
202508100113   245   22.3   96.4   21.7   22.2   23.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  993.3 1001.1
202508100113   247   21.8   99.9   21.8   21.8   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.2 1002.4
202508100113   248   20.6   99.9   20.6   20.6   21.6  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  956.8 1002.6
202508100113   251   22.0   86.9   19.7   22.5   23.3   24.7   26.5   27.1   27.1  -99.7  -99.7  -99.7  -99.7  -99.7  993.8 1000.5
202508100113   252   22.0   91.2   20.5   21.5   22.7   24.7   25.2   27.3   27.3  -99.7  -99.7  -99.7  -99.7  -99.7  996.5 1000.8
202508100113   253   22.1   99.4   22.0   22.8   25.0   27.2   27.9   28.1   28.2  -99.7  -99.7  -99.7  -99.7  -99.7  996.8 1003.1
202508100113   254   21.7   96.6   21.1   20.9   22.4   19.6   25.3   26.0   26.7  -99.7  -99.7  -99.7  -99.7  -99.7  988.1 1002.9
202508100113   255   23.1   97.6   22.7   23.4   22.7   25.5   27.9   28.1   28.9  -99.7  -99.7  -99.7  -99.7  -99.7  997.0 1002.8
202508100113   257   22.1   99.9   22.1   22.2   24.0   25.1   24.9   25.2   26.6  -99.7  -99.7  -99.7  -99.7  -99.7 1001.1 1001.8
202508100113   258   22.4   99.2   22.3   22.7   23.5   24.0   25.1   25.2   26.1   26.3   24.7  -99.7  -99.7  -99.7 1002.4 1002.6
202508100113   259   23.2  100.0   23.2   23.8   24.5   25.6   26.1   26.4   27.5  -99.7  -99.7  -99.7  -99.7  -99.7  999.7 1001.5
202508100113   260   23.1   99.0   22.9   22.3   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.6 1001.6
202508100113   261   23.9   99.0   23.7   24.3   24.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.5 1001.4
202508100113   262   22.9   95.0   22.1   23.4   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.1 1002.0
202508100113   263   21.5   98.5   21.3   22.2   23.8   24.6   25.9   26.7   27.6  -99.7  -99.7  -99.7  -99.7  -99.7 1000.5 1002.1
202508100113   264   21.9   91.9   20.5   21.6   23.0   23.9   24.2   26.5   27.9  -99.7  -99.7  -99.7  -99.7  -99.7  985.2 1002.5
202508100113   266   21.7   97.0   21.2   23.7   23.5   24.4   24.9   26.5   27.2  -99.7  -99.7  -99.7  -99.7  -99.7  992.6 1002.7
202508100113   268   25.2   97.9   24.8   24.3   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.6  999.7
202508100113   269   23.0   99.9   23.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  998.0 1001.2
202508100113   271   16.6   97.2   16.2   15.3   18.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  966.8 1004.2
202508100113   272   19.0   99.9   19.0   18.1   21.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  978.6 1002.8
202508100113   273   19.7   99.9   19.7   18.1   21.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  982.2 1002.0
202508100113   276   21.6   99.9   21.6   21.2   23.4   24.6   25.3   26.5   26.1  -99.7  -99.7  -99.7  -99.7  -99.7  978.6 1002.3
202508100113   277   22.3   86.6   20.0   21.4   22.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.3 1002.0
202508100113   278   22.0   99.7   22.0   21.0   23.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  992.1 1001.4
202508100113   279   22.8   91.9   21.4   22.6   24.1  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.0 1001.6
202508100113   281   21.4   98.6   21.2   21.1   23.4  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  991.9 1002.9
202508100113   283   21.9   95.1   21.1   21.9   23.5   26.5   26.8   27.2   28.3  -99.7  -99.7  -99.7  -99.7  -99.7  998.5 1003.1
202508100113   284   21.7   92.6   20.4   21.6   23.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  975.6 1001.5
202508100113   285   22.5   99.1   22.4   22.8   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.3 1002.4
202508100113   288   22.9   91.5   21.4   24.2   23.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1000.5 1001.5
202508100113   289   21.5   99.5   21.4   21.1   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  987.3 1003.1
202508100113   294   21.4   96.9   20.9   21.8   22.9  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.9 1003.1
202508100113   295   22.2   97.0   21.7   22.6   24.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  997.4 1002.6
202508100113   296   22.6   92.4   21.3   22.7   24.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7 1001.7 1002.0
202508100113   300   22.6   92.0   21.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  996.3 1001.3
202508100113   301   23.5   97.1   23.0  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.1 1000.1
202508100113   302   24.9   97.6   24.5  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  999.8 1000.5
202508100113   303   27.5   98.2   27.2  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  -99.7  988.8 1000.6
