CODE,ADDRESS,DATE,LAT,LON,h0,h3,h6,h9,h12,h15,h18,h21,h24,h27,h30,h33,h36,h39,h42,h45,h48,h51,h54,h57,h60,h63,h66,h69,h72,h75
1111067000,서울특별시 종로구 창신제1동,2025090412,37.5679361111111,127.018463888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111068000,서울특별시 종로구 창신제2동,2025090412,37.5716444444444,127.012963888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111069000,서울특별시 종로구 창신제3동,2025090412,37.5750472222222,127.017163888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111070000,서울특별시 종로구 숭인제1동,2025090412,37.5750277777777,127.017663888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1111071000,서울특별시 종로구 숭인제2동,2025090412,37.5720361111111,127.022055555555,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114000000,서울특별시 중구,2025090412,37.5610027777777,126.999641666666,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114052000,서울특별시 중구 소공동,2025090412,37.5596305555555,126.979108333333,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114054000,서울특별시 중구 회현동,2025090412,37.5544833333333,126.981444444444,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,2,2,0,0,,,,,,
1114055000,서울특별시 중구 명동,2025090412,37.5572361111111,126.987888888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114057000,서울특별시 중구 필동,2025090412,37.5573527777777,126.997711111111,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114058000,서울특별시 중구 장충동,2025090412,37.5591166666666,127.009933333333,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114059000,서울특별시 중구 광희동,2025090412,37.5617305555555,127.007163888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114060500,서울특별시 중구 을지로동,2025090412,37.5639,126.993430555555,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114061500,서울특별시 중구 신당동,2025090412,37.5593111111111,127.016633333333,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114062500,서울특별시 중구 다산동,2025090412,37.5516166666666,127.010308333333,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,2,2,0,0,,,,,,
1114063500,서울특별시 중구 약수동,2025090412,37.5496583333333,127.011086111111,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,2,2,0,0,,,,,,
1114064500,서울특별시 중구 청구동,2025090412,37.5542583333333,127.016788888888,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,2,2,0,0,,,,,,
1114065000,서울특별시 중구 신당제5동,2025090412,37.5623305555555,127.023966666666,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114066500,서울특별시 중구 동화동,2025090412,37.5572277777777,127.021541666666,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114067000,서울특별시 중구 황학동,2025090412,37.5646638888888,127.023497222222,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,5,2,0,0,,,,,,
1114068000,서울특별시 중구 중림동,2025090412,37.5520333333333,126.9666,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,2,2,0,0,,,,,,
1117000000,서울특별시 용산구,2025090412,37.5360944444444,126.967522222222,5,3,0,0,0,0,1,6,7,4,0,0,0,0,1,4,2,2,0,0,,,,,,
